	baseMean	log2FoldChange	lfcSE	pvalue	padj
RP11-474D1.3	428.3580643057995	9.198810339093717	0.6352029642291345	5.5637467566541786e-49	9.3409744297467e-45
CDH3	1514.5089854221242	7.334892061702285	0.5244604432100504	1.0079064591376464e-46	8.460870771230972e-43
GYLTL1B	1236.554808912086	5.775434457630221	0.4449168432744968	7.321946619985098e-40	4.097605393430994e-36
MMP11	3691.5917895906055	5.14287939176234	0.4305938991117869	1.8095783590942248e-35	7.595252767708235e-32
COMP	581.7598672558199	7.280008602841888	0.6062529858224578	1.0188594278598009e-34	3.4211261868676394e-31
WNT2	200.40936938895118	5.744274744794281	0.4792736324577773	2.0082742367477527e-34	5.619486026793004e-31
ATG9B	165.54927143665103	4.306159637515786	0.3663944143261597	3.449418849436565e-33	8.273184723312927e-30
CEMIP	2198.3047669806974	5.368030990535071	0.46302512222800823	1.1073910650831414e-32	2.3239985739601074e-29
C2CD4A	543.9411211763911	5.450331067389476	0.48680336759826043	2.5113876399750076e-30	4.684854120837822e-27
FOXQ1	1984.19606863464	7.509740117611322	0.6816652151885436	1.4973620583388726e-29	2.5139211597451333e-26
SPTBN2	784.826206367567	3.158324742694514	0.2863819313095878	1.9426004063332466e-29	2.9649380201753526e-26
AJUBA	410.3441965893804	3.0712635888033337	0.2818733102677349	9.520972169410733e-29	1.3320633479353066e-25
CLDN1	2217.1982955966278	5.527229898084757	0.5123618371608158	1.487656879656559e-28	1.9212516425041515e-25
TRIB3	2446.8369221538455	4.815915604666867	0.4503252621556053	1.6879450327238555e-28	2.024207796742915e-25
TDGF1	609.0367480471441	3.787971552692236	0.3567686671414604	2.83037147800509e-28	3.1304648209029118e-25
VWA2	435.16130158145916	4.2381366027886145	0.39813236676379565	2.9833484504405617e-28	3.1304648209029118e-25
CST1	982.8109034019147	9.317177061396	0.8969610196269097	1.1509510638953583e-26	1.1366657301023042e-23
ETV4	2048.247604884037	5.159102636509419	0.4985804812916104	1.3448529766431928e-26	1.254374256936809e-23
TGFBI	27398.632181553934	3.898179319747293	0.3776555699373413	3.8716931547469577e-26	3.421150335528772e-23
