	baseMean	log2FoldChange	lfcSE	pvalue	padj
RP11-474D1.3	428.3580643057995	9.178133833534442	0.5939081417790348	1.3649298229963843e-54	2.262371181616507e-50
CDH3	1514.5089854221242	7.2404858754747865	0.5307732350751083	9.23112531926089e-44	7.650295108337464e-40
MMP11	3691.5917895906055	5.1767983407079985	0.4059121337472805	1.8426636827751486e-38	1.0180716847332696e-34
WNT2	200.40936938895118	5.736149304433166	0.4633396147051518	1.8357789492980195e-36	7.607009021153669e-33
ATG9B	165.54927143665103	4.310813539908198	0.3492750000877807	2.897242726402523e-36	9.604359638024364e-33
CEMIP	2198.3047669806974	5.345004338628658	0.4487914441027508	6.104610978718768e-34	1.6863987828710597e-30
SPTBN2	784.826206367567	3.1624755265332616	0.26688081029438676	1.5030936138801534e-33	3.559110950009078e-30
GYLTL1B	1236.554808912086	5.805921083057685	0.4935383627173975	3.3944610913215815e-33	7.032899073581902e-30
C2CD4A	543.9411211763911	5.453214020252393	0.4727089446396599	5.122208573040973e-32	9.433400788683792e-29
TRIB3	2446.8369221538455	4.814900730629607	0.42763764095417867	1.2583913434289689e-30	2.0857836517335158e-27
TGFBI	27398.632181553934	3.9068270947997816	0.35940210265499883	1.206318175465532e-28	1.8177021598491993e-25
FOXQ1	1984.19606863464	7.472499916040283	0.6967007799349518	4.172236722986762e-28	5.762901973625465e-25
CLDN1	2217.1982955966278	5.492677211818194	0.5359012301159586	6.951674244839849e-26	8.863384662170807e-23
TG	174.69304879400556	5.328778731402091	0.5322861940985308	6.72190740377945e-25	7.958258229831741e-22
COMP	581.7598672558199	7.568780526697602	0.7694360239005109	2.9973406806815573e-24	3.312061452153121e-21
RNF43	6090.758529711871	2.336222297892169	0.23725008625921715	8.124261668783759e-24	8.416227322505676e-21
VWA2	435.16130158145916	4.1328271243186325	0.4248703874766276	1.3517538876000326e-23	1.3179600404100317e-20
GRIN2D	908.3472599420943	5.093055448460415	0.5266104260464124	2.257888310033143e-23	2.079138818822186e-20
PLAU	1587.336843500252	2.428502205021631	0.25127882533423523	4.324770906031015e-23	3.7727935667086356e-20
MAFG-AS1	122.13430901844245	3.3786733895221683	0.3608746894679763	5.161518929727184e-22	4.277608813011404e-19
INHBA	511.3988570307569	5.32453227222918	0.5744257349725778	9.789777670410506e-22	7.726931661288293e-19
KRT80	682.2824337400197	5.932870293450911	0.6420494507585311	1.3683573106652972e-21	1.03093283746715e-18
ESM1	69.6477878698523	4.562570138627156	0.49747004743444834	2.6999976686902742e-21	1.9457591895017957e-18
COL11A1	731.0634680399573	6.513044476052376	0.7126537451634755	3.3124025356320935e-21	2.2876280011709144e-18
KLK10	737.470876087277	4.308770061175226	0.4701124068858121	4.07633909509322e-21	2.7026128200468048e-18
TDGF1	609.0367480471441	3.6460365080986987	0.3996070204839768	4.843805239255091e-21	3.087925840025121e-18
HILPDA	551.044851604739	2.4654970062823383	0.2722646744915153	1.2869688241911399e-20	7.900558615173387e-18
SPIB	774.7683753283477	-5.39436603623551	0.5969103793777647	1.9731666535917112e-20	1.1680441886886647e-17
AJUBA	410.3441965893804	3.0719409918513745	0.3442388911940155	3.6225722187506856e-20	2.0704873974411246e-17
POU5F1B	141.55337770356147	5.016121462983491	0.570372688330975	6.767989978539059e-20	3.73931446314283e-17
ETV4	2048.247604884037	5.002739653266222	0.5714428628924129	1.1827968395058117e-19	6.324147617680267e-17
MMP3	520.3582527912121	5.471512008662006	0.63791615928071	4.451935549016132e-19	2.3059634914044494e-16
EGFL6	56.303097155268155	3.470876853326161	0.4025114878296637	5.085596859990277e-19	2.5543566046769345e-16
STRA6	104.42419142502084	4.938500538380322	0.579463803638236	7.927139325019243e-19	3.864480420946881e-16
FAM107A	688.7641317288173	-3.5514343856703188	0.4126656191472069	8.423128557495609e-19	3.988953024013992e-16
ITM2A	487.0206913867113	-2.203283155753817	0.25886027779118803	1.2015505569936136e-18	5.532139022824763e-16
FGL2	2433.96445601586	-2.739712224327747	0.3209829495123421	1.319574600685914e-18	5.911337569288925e-16
DDN	77.17438067768477	4.757954929290703	0.5634327025028916	1.9536882505865318e-18	8.521679671966254e-16
COL10A1	498.2008061086758	7.541733226340248	0.8999131518984504	2.06656243335831e-18	8.782890341772818e-16
PLEKHG4	1270.363671049765	2.697309364437046	0.31847930820064907	2.2129241586198724e-18	9.169804482281096e-16
MDFI	252.80815933576827	3.8036122655870535	0.45295932537692724	2.3766474509225145e-18	9.60803207293675e-16
PRKCB	546.3270320794387	-2.8491337885263914	0.33750308186407907	2.750565289983586e-18	1.0854909447970938e-15
MMP1	1022.6128631462275	4.3875501114557505	0.5254500932188262	4.132940510970124e-18	1.5931043946355768e-15
ABCG2	2736.3069272184143	-6.359479358632245	0.7729304698629238	9.7492939644463e-18	3.6726033513794865e-15
CTHRC1	558.4298866553781	4.092781224266261	0.49701123288603605	1.1648420553333358e-17	4.2905015704777865e-15
RHPN1	664.3053860525279	3.999101411721436	0.4874870720601248	1.4059264659793862e-17	5.065919820349637e-15
SALL4	41.527842567224404	4.6665876527749885	0.5643727839119156	1.6912936680218352e-17	5.9645090526514725e-15
TNS4	3128.7243127017337	4.093211461288464	0.5033992650297557	2.7358395770326894e-17	9.447196039441005e-15
ADAMTS12	469.02497070360175	3.6619846463901453	0.4513464406572212	3.4124900775725656e-17	1.1543270007299035e-14
KRT23	856.0247985317834	7.512171836791222	0.9394259234298291	5.764301041960067e-17	1.9108657954097625e-14
ASCL2	4261.175930608128	4.7508474926901725	0.5948485829892137	8.088555156449931e-17	2.6287804258462275e-14
